Word,Coefficient
stories,1.974507087
copy,1.410254732
gifts,1.354265329
welcome,1.223907857
hello,1.162766348
freshman,1.143086937
wish,1.126821626
affordability,1.107601898
shopping,0.985056654
week,0.972514949
early,0.935033898
tonight,0.901883575
fafsa,0.852712283
adulting,0.844611222
cope,0.829108621
gets,0.805197748
social,0.782211459
time,0.779114514
self,0.767456216
anxiety,0.765385782
college,0.732371538
friend,0.728934749
problems,0.728934749
tune,0.728170892
promises,0.71586311
begins,0.715448766
changes,0.705489273
deals,0.698311616
team,0.698029164
heartbroken,0.69256128
come,0.690739484
plan,0.690371442
tours,0.675320213
save,0.671735662
leave,0.671077827
truths,0.657987728
apps,0.654686704
events,0.654117909
membership,0.647824242
missed,0.646442749
flown,0.639274363
boys,0.636395398
freshmen,0.633689937
turn,0.632669086
valentine,0.624547043
let,0.62057697
invited,0.6053399
prime,0.601280173
correct,0.598797096
burned,0.585952544
exhausted,0.585952544
facebook,0.585231241
thanks,0.581824157
resources,0.581779712
happier,0.573579238
read,0.569629516
aid,0.564191502
quit,0.56356858
20,0.562732841
stem,0.560827575
opportunity,0.560827575
california,0.560827575
away,0.557443528
search,0.555128568
jennifer,0.551789682
garner,0.551789682
merit,0.548562698
admissions,0.547686593
thank,0.547316848
simple,0.546741938
admission,0.54513884
parenting,0.540965333
stuff,0.531616148
write,0.529352954
value,0.527539708
passion,0.524371806
alcohol,0.520416632
views,0.520416632
sleeping,0.517283653
open,0.516053283
sad,0.514621115
finds,0.511559666
mood,0.510746223
swings,0.510746223
navigate,0.510746223
entering,0.505989106
yr,0.501216784
dream,0.50119626
hurts,0.497467921
girlfriend,0.489103247
fomo,0.486749423
husband,0.486190113
called,0.486190113
reacted,0.486190113
lazy,0.486190113
stress,0.484240417
boost,0.482008694
heads,0.478923427
ask,0.476672939
debunked,0.467937175
excited,0.467362452
future,0.467362452
applications,0.466559502
syllabus,0.466092549
rejected,0.465367489
dreams,0.465367489
current,0.464780352
tell,0.463713543
saving,0.463706597
failure,0.463706597
naked,0.461688303
win,0.459096971
parents,0.457337575
demonstrated,0.457126989
congrats,0.454242588
lifetime,0.454242588
grown,0.450316903
seven,0.449367034
christmas,0.447815351
staples,0.446577095
funny,0.44554158
shocking,0.44554158
caring,0.444383493
trust,0.440365922
reality,0.43885384
rethink,0.436882606
questions,0.43246718
snapchat,0.429445854
freak,0.429445854
tops,0.42937721
wallet,0.425484769
avoid,0.422041963
new,0.419956724
normal,0.416226766
convos,0.412961032
pre,0.412961032
soul,0.411276597
remember,0.408528381
talk,0.407658396
bestselling,0.407473895
wild,0.407233078
update,0.404405091
cut,0.404297101
standout,0.403063867
answers,0.403062576
month,0.401885542
goes,0.401114255
baby,0.401114255
expect,0.401114255
offer,0.399927257
transferred,0.398542864
journey,0.397599747
transform,0.397599747
media,0.394173166
super,0.393905833
things,0.392956393
contradictions,0.390753876
overflowing,0.390753876
eighteen,0.390753876
miss,0.389168664
homesick,0.388983802
stuffer,0.388362497
drink,0.386565683
change,0.381193446
orientation,0.37802
attend,0.37802
surviving,0.376166336
good,0.376007412
wrong,0.373611559
happened,0.371050039
gentler,0.370925196
kinder,0.370925196
bloomer,0.37005773
selingo,0.369927568
jeff,0.369927568
deadline,0.365801673
bootcamp,0.365801673
register,0.365801673
lots,0.364142184
congratulations,0.363397061
women,0.36274137
girls,0.36274137
sneak,0.35883105
peak,0.35883105
prepare,0.357900606
learned,0.355470745
annoying,0.354473154
et,0.354441291
8pm,0.354441291
budget,0.352881179
signing,0.352490077
contract,0.352490077
list,0.349845742
amplified,0.349159016
lesson,0.345655598
necessities,0.341446052
teach,0.341183639
santa,0.340846837
build,0.340657926
relationships,0.340657926
professors,0.340657926
fathers,0.340260809
stressed,0.334968217
turned,0.334670672
laundry,0.330062079
advocate,0.328239438
bath,0.324772196
bed,0.324772196
answer,0.318501944
celebration,0.316652334
texas,0.316652334
dean,0.313405609
gift,0.307506648
chance,0.306940832
shares,0.304763751
year,0.304295801
gain,0.302259354
smart,0.302259354
credit,0.302259354
videos,0.299999514
personality,0.299999514
contest,0.299999514
watched,0.299999514
youngest,0.299961666
campus,0.299153878
jumpstart,0.298569975
easiest,0.297942924
middle,0.296940866
access,0.29541854
guide,0.295048278
essentials,0.294377817
profile,0.29393997
css,0.29393997
days,0.286969343
ready,0.282177417
life,0.281102633
oh,0.280268455
mommas,0.280268455
signs,0.279078023
reduce,0.278066081
selection,0.277310771
4th,0.276478944
july,0.276478944
texts,0.269862191
sports,0.269836517
explains,0.269767635
job,0.268732353
people,0.268355585
readiness,0.268355585
student,0.265804816
series,0.262258576
tuesday,0.262258576
launches,0.262258576
known,0.261033433
reading,0.260531445
articles,0.260531445
make,0.259289857
decision,0.258095934
ride,0.25562878
broadway,0.255298166
fans,0.255298166
paying,0.253190667
price,0.251599019
teaching,0.250949479
yes,0.249513648
upcoming,0.248841824
step,0.248086314
kid,0.24455194
bookmark,0.241667632
book,0.238277988
holiday,0.237506159
info,0.230789949
care,0.229492711
stage,0.226581787
grads,0.226009828
junior,0.223277336
big,0.221683129
guys,0.218857797
school,0.216493731
learn,0.214744137
sale,0.214516418
judge,0.211196999
telling,0.210445498
children,0.208896042
old,0.20849024
path,0.207359758
applying,0.207178251
advice,0.205376347
members,0.20503911
son,0.203363321
wo,0.200099537
follow,0.193315005
wanted,0.190791001
giveaway,0.189645601
problem,0.189456292
essential,0.187763091
child,0.187092163
crucial,0.182145915
worst,0.181831266
app,0.179901879
finished,0.178733042
weeks,0.174565279
secret,0.171080354
regrets,0.169041754
understand,0.167320731
target,0.157130354
reason,0.155108724
scholarships,0.148790887
parent,0.144062713
emergencies,0.143749464
know,0.141308942
kick,0.141059407
heart,0.136070292
tips,0.135323056
author,0.131649581
plans,0.130641682
receive,0.128215291
rise,0.122637197
stealth,0.122637197
holidays,0.121100489
mind,0.109779717
fears,0.109541627
seniors,0.10913144
drinking,0.107228143
heard,0.101057795
safety,0.093322729
stocking,0.092683116
provoking,0.086692838
mother,0.085712389
makes,0.078734094
hard,0.073704233
expert,0.060466015
stopped,0.059279906
shop,0.058927768
dorm,0.057131699
classes,0.052235443
president,0.043402808
roommate,0.04302625
class,0.040309029
look,0.039053691
monday,0.034792313
cyber,0.034792313
fourteen,0.034325978
lists,0.033751834
case,0.029611251
amazon,0.029091091
tomorrow,0.027556524
rule,0.024422219
age,0.017162989
plus,0.016179435
right,0.016044468
help,0.015175267
high,0.013324689
day,0.010255453
friday,0.009889967
black,0.009889967
sales,0.008838271
today,-0.004190051
students,-0.005124985
process,-0.005260805
little,-0.014501557
borba,-0.01705401
michele,-0.01705401
thrivers,-0.01705401
adult,-0.017567402
real,-0.020082443
easier,-0.028713325
feel,-0.031560776
mistake,-0.037663543
years,-0.042160157
ap,-0.044249658
credits,-0.044249658
space,-0.045853145
mistakes,-0.053038447
probably,-0.053544024
ways,-0.05617314
scores,-0.058975455
gpas,-0.058975455
test,-0.058975455
semester,-0.059669149
picked,-0.059987487
needs,-0.060217238
bring,-0.060540172
older,-0.061117608
position,-0.061117608
simply,-0.065213446
late,-0.066793633
mid,-0.067135332
live,-0.068911735
summers,-0.069107343
faced,-0.07018232
alright,-0.072275287
birthday,-0.072915411
legal,-0.07587201
docs,-0.07587201
figured,-0.078933099
laughing,-0.078933099
guy,-0.078933099
asking,-0.079186028
ends,-0.079642415
september,-0.079642415
west,-0.081776613
area,-0.081776613
nacac,-0.081776613
coast,-0.081776613
small,-0.082643818
jeopardy,-0.084418824
internship,-0.085199648
just,-0.086015087
table,-0.086015087
career,-0.0874892
text,-0.09001642
gotten,-0.09001642
head,-0.090642506
myths,-0.091546716
kindest,-0.092782142
shut,-0.094806868
excuses,-0.094806868
voting,-0.094806868
idiotic,-0.094806868
saying,-0.098855426
free,-0.099807117
parented,-0.10086564
happens,-0.101031559
